_org_class,_org_name,study_count,_pct,_cumm_pct
INDUSTRY,Novartis,1804,0.02042526210910079,0.02042526210910079
INDUSTRY,GlaxoSmithKline,1597,0.018081565181947874,0.038506827291048665
NIH,National Cancer Institute (NCI),1494,0.01691537782206019,0.05542220511310886
INDUSTRY,Pfizer,1216,0.013767804171101197,0.06919000928421006
INDUSTRY,Sanofi,1129,0.012782772129254319,0.08197278141346437
INDUSTRY,AstraZeneca,1053,0.011922284368560495,0.09389506578202486
INDUSTRY,Merck Sharp & Dohme Corp.,1029,0.011650551391499286,0.10554561717352415
OTHER,M.D. Anderson Cancer Center,973,0.011016507778356468,0.11656212495188062
INDUSTRY,Eli Lilly and Company,849,0.009612554063540227,0.12617467901542084
INDUSTRY,Hoffmann-La Roche,842,0.009533298611897376,0.13570797762731823
INDUSTRY,Takeda,707,0.00800480061592808,0.14371277824324633
NIH,National Institutes of Health Clinical Center (CC),630,0.007132990647856706,0.15084576889110304
INDUSTRY,Boehringer Ingelheim,589,0.006668780145377143,0.15751454903648018
OTHER,Sun Yat-sen University,554,0.0062725028871628815,0.16378705192364307
OTHER,Assistance Publique - Hôpitaux de Paris,546,0.0061819252281424784,0.16996897715178555
INDUSTRY,Bayer,523,0.005921514458458821,0.17589049161024436
INDUSTRY,Bristol-Myers Squibb,455,0.005151604356785399,0.18104209596702978
OTHER,Memorial Sloan Kettering Cancer Center,450,0.005094993319897647,0.18613708928692743
OTHER,Mayo Clinic,426,0.004823260342836439,0.19096034962976388
OTHER,Dana-Farber Cancer Institute,395,0.004472271914132379,0.19543262154389626
INDUSTRY,Amgen,393,0.0044496274993772785,0.19988224904327354
OTHER,Massachusetts General Hospital,385,0.004359049840356876,0.2042412988836304
INDUSTRY,Novo Nordisk A/S,377,0.004268472181336473,0.20850977106496688
INDUSTRY,AbbVie,370,0.0041892167296936214,0.2126989877946605
OTHER,Fudan University,366,0.0041439279001834195,0.21684291569484393
NIH,National Institute of Allergy and Infectious Diseases (NIAID),365,0.004132605692805869,0.2209755213876498
INDUSTRY,Gilead Sciences,363,0.004109961278050769,0.22508548266570058
OTHER,Alliance for Clinical Trials in Oncology,360,0.004075994655918118,0.2291614773216187
INDUSTRY,Astellas Pharma Inc,338,0.0038269060936120106,0.2329883834152307
OTHER,Stanford University,327,0.003702361812458957,0.23669074522768965
OTHER,Duke University,319,0.0036117841534385542,0.2403025293811282
INDUSTRY,Organon and Co,313,0.0035438509091732526,0.24384638029030145
FED,VA Office of Research and Development,308,0.003487239872285501,0.24733362016258695
INDUSTRY,"Janssen Research & Development, LLC",303,0.003430628835397749,0.2507642489979847
INDUSTRY,UCB Pharma,301,0.0034079844206426485,0.2541722334186274
OTHER,"University of California, San Francisco",299,0.003385340005887548,0.2575575734245149
INDUSTRY,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",285,0.0032268291026018433,0.26078440252711677
OTHER,Assiut University,281,0.003181540273091642,0.2639659428002084
OTHER,University of Pittsburgh,277,0.0031362514435814407,0.26710219424378984
OTHER,Yale University,264,0.0029890627476732864,0.27009125699146314
INDUSTRY,Allergan,259,0.0029324517107855346,0.2730237087022487
OTHER,"University Health Network, Toronto",257,0.002909807296030434,0.2759335159982791
OTHER,Washington University School of Medicine,251,0.002841874051765132,0.2787753900500442
OTHER,Johns Hopkins University,238,0.002694685355856978,0.2814700754059012
INDUSTRY,"Teva Branded Pharmaceutical Products R&D, Inc.",238,0.002694685355856978,0.2841647607617582
INDUSTRY,Eisai Inc.,238,0.002694685355856978,0.28685944611761516
OTHER,Samsung Medical Center,231,0.0026154299042141257,0.2894748760218293
OTHER,University of Washington,221,0.002502207830438622,0.29197708385226795
OTHER,Emory University,221,0.002502207830438622,0.2944792916827066
NETWORK,Southwest Oncology Group,220,0.002490885623061072,0.29697017730576764
OTHER,University of Pennsylvania,211,0.002388985756663119,0.29935916306243077
OTHER,Cairo University,210,0.0023776635492855688,0.30173682661171636
OTHER,Seoul National University Hospital,209,0.0023663413419080185,0.30410316795362435
INDUSTRY,Abbott,203,0.0022984080976427164,0.30640157605126705
INDUSTRY,Celgene,190,0.002151219401734562,0.3085527954530016
NETWORK,European Organisation for Research and Treatment of Cancer - EORTC,187,0.0021172527796019113,0.3106700482326035
OTHER,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,187,0.0021172527796019113,0.3127873010122054
OTHER,Chinese Academy of Medical Sciences,186,0.002105930572224361,0.3148932315844298
OTHER,Columbia University,182,0.0020606417427141595,0.3169538733271439
OTHER,Ain Shams University,182,0.0020606417427141595,0.31901451506985806
INDUSTRY,"Genentech, Inc.",175,0.001981386291071307,0.32099590136092937
OTHER,Asan Medical Center,167,0.0018908086320509046,0.32288670999298025
OTHER,University of Chicago,164,0.0018568420099182538,0.3247435520028985
OTHER,Northwestern University,161,0.0018228753877856027,0.3265664273906841
NETWORK,Children's Oncology Group,160,0.0018115531804080522,0.32837798057109213
OTHER,University of Alabama at Birmingham,157,0.0017775865582754014,0.33015556712936756
INDUSTRY,"Jiangsu HengRui Medicine Co., Ltd.",157,0.0017775865582754014,0.331933153687643
OTHER,Medical University of Vienna,154,0.0017436199361427504,0.3336767736237857
INDUSTRY,Wyeth is now a wholly owned subsidiary of Pfizer,154,0.0017436199361427504,0.3354203935599285
INDUSTRY,"Daiichi Sankyo, Inc.",153,0.0017322977287652001,0.3371526912886937
OTHER,"Charite University, Berlin, Germany",152,0.0017209755213876497,0.33887366681008135
OTHER,Wake Forest University Health Sciences,149,0.0016870088992549988,0.34056067570933635
INDUSTRY,"Otsuka Pharmaceutical Development & Commercialization, Inc.",149,0.0016870088992549988,0.34224768460859134
OTHER,University of Texas Southwestern Medical Center,148,0.0016756866918774484,0.3439233713004688
OTHER,"University of Wisconsin, Madison",147,0.001664364484499898,0.3455877357849687
OTHER,Case Comprehensive Cancer Center,144,0.001630397862367247,0.34721813364733595
OTHER,Fred Hutchinson Cancer Research Center,143,0.0016190756549896968,0.34883720930232565
OTHER,Icahn School of Medicine at Mount Sinai,142,0.0016077534476121465,0.3504449627499378
OTHER,The Hospital for Sick Children,142,0.0016077534476121465,0.35205271619754996
OTHER,Brigham and Women's Hospital,141,0.001596431240234596,0.3536491474377846
INDUSTRY,Alcon Research,141,0.001596431240234596,0.3552455786780192
OTHER,Peking Union Medical College Hospital,141,0.001596431240234596,0.3568420099182538
OTHER,NYU Langone Health,139,0.0015737868254794955,0.3584157967437333
